FeedbackID,CustomerID,BranchID,FeedbackType,Comments,DateSubmitted
157,280,6,Suggestion,Great experience with the customer service team.,2023-10-26
158,312,14,Praise,Would love to see extended working hours on weekends.,2023-09-26
159,412,20,Praise,Would love to see extended working hours on weekends.,2024-03-15
160,204,5,Suggestion,"Service was excellent, very polite staff.",2023-04-15
161,23,9,Suggestion,Staff should be more attentive to customers.,2023-03-28
162,180,4,Praise,"The queue was too long, need more staff at counters.",2023-05-06
163,54,11,Praise,"Smooth account opening process, highly recommend this branch.",2024-05-05
164,370,18,Complaint,Great experience with the customer service team.,2024-04-05
165,353,8,Suggestion,"The queue was too long, need more staff at counters.",2025-01-14
166,285,4,Suggestion,"Quick loan processing, really happy with the support.",2024-12-04
167,494,11,Complaint,"Service was excellent, very polite staff.",2024-05-15
168,428,12,Complaint,Branch manager was very helpful in resolving my issue.,2023-03-18
169,127,18,Suggestion,"Smooth account opening process, highly recommend this branch.",2023-09-24
170,52,1,Suggestion,Staff should be more attentive to customers.,2024-12-26
171,187,15,Suggestion,Branch manager was very helpful in resolving my issue.,2024-12-02
172,299,9,Suggestion,"Smooth account opening process, highly recommend this branch.",2024-02-19
173,213,9,Complaint,Great experience with the customer service team.,2023-10-23
174,56,4,Suggestion,"The queue was too long, need more staff at counters.",2024-04-23
175,435,8,Suggestion,"Quick loan processing, really happy with the support.",2023-12-28
176,5,5,Suggestion,"Service was excellent, very polite staff.",2023-03-20
177,227,12,Praise,"Smooth account opening process, highly recommend this branch.",2023-03-28
178,374,16,Praise,"ATM was out of order, had to visit another branch.",2025-01-17
179,300,19,Complaint,"Smooth account opening process, highly recommend this branch.",2025-02-09
180,275,13,Suggestion,Staff should be more attentive to customers.,2025-02-04
181,179,6,Complaint,"Service was excellent, very polite staff.",2023-05-20
182,251,19,Suggestion,Branch manager was very helpful in resolving my issue.,2023-09-17
183,41,14,Praise,Great experience with the customer service team.,2023-05-17
184,335,18,Suggestion,"The queue was too long, need more staff at counters.",2025-03-13
185,500,11,Complaint,Need better online banking services.,2024-12-23
186,365,6,Praise,"Quick loan processing, really happy with the support.",2024-08-29
187,251,2,Complaint,Branch manager was very helpful in resolving my issue.,2025-02-10
188,408,19,Praise,"ATM was out of order, had to visit another branch.",2024-01-17
189,168,13,Complaint,"Service was excellent, very polite staff.",2025-02-17
190,243,3,Praise,"Service was excellent, very polite staff.",2025-02-02
191,3,18,Complaint,"Quick loan processing, really happy with the support.",2023-04-19
192,460,15,Praise,Branch manager was very helpful in resolving my issue.,2023-05-16
193,336,5,Complaint,"Smooth account opening process, highly recommend this branch.",2023-10-19
194,101,10,Praise,"Smooth account opening process, highly recommend this branch.",2024-10-21
195,21,18,Praise,"Quick loan processing, really happy with the support.",2023-08-03
196,115,18,Praise,Would love to see extended working hours on weekends.,2023-12-09
197,251,13,Praise,"Smooth account opening process, highly recommend this branch.",2024-06-13
198,416,8,Suggestion,Staff should be more attentive to customers.,2024-05-17
199,248,14,Suggestion,"Smooth account opening process, highly recommend this branch.",2024-03-30
200,263,10,Suggestion,Staff should be more attentive to customers.,2023-09-23
201,91,7,Praise,Need better online banking services.,2025-01-14
202,146,7,Complaint,Great experience with the customer service team.,2024-08-26
203,236,14,Praise,"Service was excellent, very polite staff.",2024-09-13
204,53,11,Suggestion,Need better online banking services.,2023-12-12
205,426,6,Praise,"Smooth account opening process, highly recommend this branch.",2023-10-11
206,291,16,Suggestion,"ATM was out of order, had to visit another branch.",2024-03-20
207,460,14,Praise,Branch manager was very helpful in resolving my issue.,2023-08-18
208,483,5,Praise,Need better online banking services.,2023-09-13
209,450,18,Complaint,Would love to see extended working hours on weekends.,2024-02-29
210,407,16,Suggestion,"The queue was too long, need more staff at counters.",2023-10-26
211,384,17,Praise,Need better online banking services.,2023-10-06
212,196,9,Praise,Need better online banking services.,2024-09-27
213,357,2,Complaint,Would love to see extended working hours on weekends.,2023-10-07
214,192,19,Complaint,Need better online banking services.,2024-09-06
215,208,2,Suggestion,Would love to see extended working hours on weekends.,2024-04-24
216,273,16,Suggestion,"The queue was too long, need more staff at counters.",2023-05-02
217,455,13,Praise,"Smooth account opening process, highly recommend this branch.",2024-02-15
218,32,4,Complaint,Need better online banking services.,2024-08-05
219,358,2,Praise,Would love to see extended working hours on weekends.,2023-05-12
220,460,7,Praise,Staff should be more attentive to customers.,2024-08-05
